1,["https:\/\/www.cstj.qc.ca","https:\/\/ccmt.cstj.qc.ca","https:\/\/ccml.cstj.qc.ca"], Canada, ["cstj.qc.ca"], Cégep de Saint-Jérôme, 
118,["http:\/\/www.uqam.ca\/"], Canada, ["uqam.ca"], Université du Québec à Montréal, 
119,["http:\/\/www.uqar.uquebec.ca\/"], Canada, ["uqar.uquebec.ca"], Université du Québec à Rimouski, 
120,["http:\/\/www.uqat.uquebec.ca\/"], Canada, ["uqat.uquebec.ca"], Université du Québec en Abitibi-Témiscamingue, 
121,["http:\/\/www.uqo.ca\/"], Canada, ["uqo.ca"], Université du Québec en Outaouais, 
122,["http:\/\/www.uqtr.uquebec.ca\/"], Canada, ["uqtr.uquebec.ca"], Université du Québec à Trois-Rivières, 
123,["http:\/\/www.uquebec.ca\/"], Canada, ["uquebec.ca"], University of Québec, 
124,["http:\/\/www.uregina.ca\/campion\/"], Canada, ["uregina.ca"], Campion College, 
125,["http:\/\/www.uregina.ca\/"], Canada, ["uregina.ca"], University of Regina, 
126,["http:\/\/www.usask.ca\/"], Canada, ["usask.ca"], University of Saskatchewan, 
127,["http:\/\/www.usherb.ca\/"], Canada, ["usherb.ca"], Université de Sherbrooke, 
128,["http:\/\/www.usjc.uwaterloo.ca\/"], Canada, ["usjc.uwaterloo.ca"], University of St. Jerome's College, 
129,["http:\/\/www.ustanne.ednet.ns.ca\/"], Canada, ["ustanne.ednet.ns.ca"], St. Anne University, 
130,["http:\/\/www.ustboniface.mb.ca\/"], Canada, ["ustboniface.mb.ca"], University College of Saint-Boniface, 
131,["http:\/\/www.ustpaul.ca\/"], Canada, ["ustpaul.ca"], St. Paul University, 
132,["http:\/\/www.usudbury.com\/"], Canada, ["usudbury.com"], University of Sudbury, 
133,["http:\/\/www.utm.utoronto.ca\/"], Canada, ["utm.utoronto.ca"], University of Toronto, Mississauga, 
134,["http:\/\/www.utoronto.ca\/stmikes\/"], Canada, ["utoronto.ca"], University of St. Michael's College, 
135,["http:\/\/www.utoronto.ca\/"], Canada, ["utoronto.ca"], University of Toronto, 
136,["http:\/\/www.uvic.ca\/"], Canada, ["uvic.ca"], University of Victoria, 
137,["http:\/\/www.uwaterloo.ca\/"], Canada, ["uwaterloo.ca"], University of Waterloo, 
138,["http:\/\/www.uwindsor.ca\/"], Canada, ["uwindsor.ca"], University of Windsor, 
139,["http:\/\/www.uwinnipeg.ca\/"], Canada, ["uwinnipeg.ca"], University of Winnipeg, 
140,["http:\/\/brescia.uwo.ca\/"], Canada, ["uwo.ca"], Brescia University College, 
141,["http:\/\/www.uwo.ca\/kings\/"], Canada, ["uwo.ca"], King's College, 
142,["http:\/\/www.uwo.ca\/"], Canada, ["uwo.ca"], University of Western Ontario, 
143,["http:\/\/www.vcc.ca\/"], Canada, ["vcc.ca"], Vancouver Community College, 
144,["http:\/\/vicu.utoronto.ca\/"], Canada, ["vicu.utoronto.ca"], Victoria University Toronto, University of Toronto, 
145,["http:\/\/www.wlu.ca\/"], Canada, ["wlu.ca","mylaurier.ca"], Wilfrid Laurier University, 
146,["http:\/\/www.yorku.ca\/"], Canada, ["yorku.ca"], York University, 
147,["http:\/\/www.yukoncollege.yk.ca\/"], Canada, ["yukoncollege.yk.ca"], Yukon College, 
148,["https:\/\/www.mohawkcollege.ca\/"], Canada, ["mohawkcollege.ca"], Mohawk College, 
149,["https:\/\/www.fanshawec.ca\/"], Canada, ["fanshawec.ca","fanshaweonline.ca"], Fanshawe College, 
150,["https:\/\/www.vaniercollege.qc.ca\/"], Canada, ["vaniercollege.qc.ca"], Vanier College, 
